Location Names,Pan de Azucar Pte. R-9,Pan de Azucar Pte. R-9
Location Ids,71.0,71.0
Time,H.obs,Q.obs
2022-09-02 02:00:00,0.87,4.99
2022-09-02 02:30:00,0.87,4.99
2022-09-02 03:00:00,0.89,5.38
2022-09-02 03:30:00,0.9,5.59
2022-09-02 04:00:00,0.91,5.8
2022-09-02 04:30:00,0.92,6.01
2022-09-02 05:00:00,0.94,6.45
2022-09-02 05:30:00,0.95,6.67
2022-09-02 06:00:00,0.96,6.91
2022-09-02 06:30:00,0.97,7.14
2022-09-02 07:00:00,0.98,7.38
2022-09-02 07:30:00,0.99,7.63
2022-09-02 08:00:00,0.99,7.63
2022-09-02 08:30:00,1.0,7.88
2022-09-02 09:00:00,1.01,8.13
2022-09-02 09:30:00,1.02,8.39
2022-09-02 10:00:00,1.02,8.39
2022-09-02 10:30:00,1.02,8.39
2022-09-02 11:00:00,1.03,8.65
2022-09-02 11:30:00,1.03,8.65
2022-09-02 12:00:00,1.02,8.39
2022-09-02 12:30:00,1.02,8.39
2022-09-02 13:00:00,1.02,8.39
2022-09-02 13:30:00,1.01,8.13
2022-09-02 14:00:00,1.01,8.13
2022-09-02 14:30:00,1.01,8.13
2022-09-02 15:00:00,1.0,7.88
2022-09-02 15:30:00,1.0,7.88
2022-09-02 16:00:00,0.99,7.63
2022-09-02 16:30:00,0.99,7.63
2022-09-02 17:00:00,0.98,7.38
2022-09-02 17:30:00,0.98,7.38
2022-09-02 18:00:00,0.97,7.14
2022-09-02 18:30:00,0.96,6.91
2022-09-02 19:00:00,0.96,6.91
2022-09-02 19:30:00,0.95,6.67
2022-09-02 20:00:00,0.95,6.67
2022-09-02 20:30:00,0.94,6.45
2022-09-02 21:00:00,0.93,6.23
2022-09-02 21:30:00,0.93,6.23
2022-09-02 22:00:00,0.92,6.01
2022-09-02 22:30:00,0.92,6.01
2022-09-02 23:00:00,0.91,5.8
2022-09-02 23:30:00,0.91,5.8
2022-09-03 00:00:00,0.9,5.59
2022-09-03 00:30:00,0.9,5.59
2022-09-03 01:00:00,0.89,5.38
2022-09-03 01:30:00,0.89,5.38
