Location Names,Paso de los Troncos
Location Ids,119.0
Time,Q.obs
2022-03-22 19:00:00,0.229
2022-03-23 07:00:00,0.389
2022-03-23 13:00:00,0.389
2022-03-23 19:00:00,0.389
2022-03-24 07:00:00,0.229
2022-03-24 13:00:00,0.229
2022-03-24 19:00:00,0.229
2022-03-25 07:00:00,0.389
2022-03-25 13:00:00,0.389
2022-03-25 19:00:00,0.389
2022-03-26 07:00:00,0.229
2022-03-26 13:00:00,0.229
2022-03-26 19:00:00,0.229
2022-03-27 07:00:00,0.229
2022-03-27 13:00:00,0.229
2022-03-27 19:00:00,0.389
2022-03-28 07:00:00,0.389
2022-03-28 13:00:00,0.389
2022-03-28 19:00:00,0.614
2022-03-29 07:00:00,0.614
2022-03-29 13:00:00,0.389
2022-03-29 19:00:00,0.389
2022-03-30 07:00:00,0.389
2022-03-30 13:00:00,0.389
2022-03-30 19:00:00,0.389
2022-03-31 07:00:00,0.389
2022-03-31 13:00:00,0.389
2022-03-31 19:00:00,0.389
2022-04-01 07:00:00,0.389
2022-04-01 13:00:00,0.389
2022-04-01 19:00:00,0.389
2022-04-02 07:00:00,0.229
2022-04-02 13:00:00,0.229
2022-04-02 19:00:00,0.229
2022-04-03 07:00:00,0.389
2022-04-03 13:00:00,0.389
2022-04-03 19:00:00,0.389
2022-04-04 07:00:00,0.229
2022-04-04 13:00:00,0.229
2022-04-04 19:00:00,0.229
2022-04-05 07:00:00,0.229
2022-04-05 13:00:00,0.229
2022-04-05 19:00:00,0.229
2022-04-06 07:00:00,0.229
2022-04-06 13:00:00,0.123
2022-04-06 19:00:00,0.123
2022-04-07 07:00:00,0.123
2022-04-07 13:00:00,0.123
2022-04-07 19:00:00,0.123
2022-04-08 07:00:00,0.123
2022-04-08 13:00:00,0.123
2022-04-08 19:00:00,0.123
2022-04-09 07:00:00,0.123
2022-04-09 13:00:00,0.123
2022-04-09 19:00:00,0.123
2022-04-10 07:00:00,0.123
2022-04-10 13:00:00,0.123
2022-04-10 19:00:00,0.123
2022-04-11 07:00:00,0.229
2022-04-11 13:00:00,0.229
2022-04-11 19:00:00,0.229
2022-04-12 07:00:00,0.229
2022-04-12 13:00:00,0.389
2022-04-12 19:00:00,0.614
2022-04-13 07:00:00,0.614
2022-04-13 13:00:00,0.614
2022-04-13 19:00:00,0.614
2022-04-14 07:00:00,0.614
2022-04-14 13:00:00,0.614
2022-04-14 19:00:00,0.614
2022-04-15 07:00:00,0.614
2022-04-15 13:00:00,0.389
2022-04-15 19:00:00,0.229
2022-04-16 07:00:00,0.229
2022-04-16 13:00:00,0.229
2022-04-16 19:00:00,0.229
2022-04-17 07:00:00,0.229
2022-04-17 13:00:00,0.123
2022-04-17 19:00:00,0.123
2022-04-18 07:00:00,0.123
2022-04-18 13:00:00,0.123
2022-04-18 19:00:00,0.123
2022-04-19 07:00:00,0.123
2022-04-19 13:00:00,0.123
2022-04-19 19:00:00,0.123
