Lookout			
Dag	P[mm/d]	T[C]	Q[mm/d]
19530722	0	13.8	0.901493713
19530723	0	13.75	0.862298334
19530724	0	13.2	0.862298334
19530725	0	16.2	0.862298334
19530726	0	13.75	0.823102955
19530727	0	15.3	0.783907576
19530728	0	16.35	0.783907576
19530729	0	15.3	0.783907576
19530730	0	14.5	0.783907576
19530731	0	14.55	0.744712198
19530801	0	15.8	0.744712198
19530802	0	17.05	0.744712198
19530803	0	16.55	0.705516819
19530804	0.32004	15.95	0.705516819
19530805	0	18.85	0.705516819
19530806	0	20.1	0.901493713
19530807	0	18.25	0.744712198
19530808	0	19.85	0.705516819
19530809	0	15.75	0.705516819
19530810	0	19	0.66632144
